SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_Event_ID,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Source_Tab,Match_Type,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Santa_Recombinant_Full,Santa_Recombinant_List,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,Reaches_End,Reaches_Start,RDP_Recombinant_Full,RDP_Recombinant_List,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,All_Collected_Recombinants,All_Collected_Recombinants_Count,Recombinants_List,Coverage_Percentage,Start_Gap,End_Gap,_Total_Distance,RDP_Match_Types,Tag,Santa_ID,Santa_Breakpoints,Recombinant_Match_Score,Start_End_Diff_Score,RDP_Set,Tag_Specific_Quality_Score,Tag_Rank,Global_Rank,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining
78_Recombination events.csv|5081,5081,78_Recombination events.csv,3852,8565,['48'],1000,0.0001,0.01,0.1,5000,50,2,3852,8566,3852-8566,['48'],['27'],"['1', '50', '39']",0.0,1.0,1.0,100.0,4713.0,1178.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,5081,3852-8565,100.0,99.9,2,100.0,1,11,5,5,7,28,2,23,71.4%,17.9%,✅ Equal,35,10,25
23_Recombination events.csv|4964,4964,23_Recombination events.csv,912,10000,"['13', '25']",1000,0.0001,0.01,0.1,5000,50,1,910,9988,910-9988,"['13', '25']","['2', '5', '48', '15', '28', '10', '9', '32', '41', '1']","['20', '29', '39']",2.0,12.0,14.0,99.9,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (2/2),56.980000000000004,100.0,2/2,100.0,2.0,2.0,2/2,92.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,4964,912-10000,100.0,98.6,1,100.0,1,12,3,3,4,17,1,14,75.0%,17.6%,✅ Equal,21,6,15
40_Recombination events.csv|5023,5023,40_Recombination events.csv,3300,6507,['3'],1000,0.0001,0.01,0.1,5000,50,1,3299,6508,3299-6508,['3'],"['49', '22']","['34', '12']",1.0,1.0,2.0,100.0,3207.0,801.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,5023,3300-6507,100.0,99.8,1,100.0,1,13,1,1,2,20,1,19,50.0%,5.0%,✅ Equal,22,2,20
41_Recombination events.csv|4966,4966,41_Recombination events.csv,4887,5079,['37'],1000,0.0001,0.01,0.1,5000,50,4,4888,5079,4888-5079,['37'],['7'],['45'],1.0,0.0,1.0,99.5,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.900000000000006,100.0,1/1,100.0,1.0,1.0,1/1,97.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,4966,4887-5079,100.0,99.9,4,100.0,1,14,4,4,4,15,0,11,100.0%,26.7%,✅ Equal,19,8,11
76_Recombination events.csv|5025,5025,76_Recombination events.csv,210,2196,['3'],1000,0.0001,0.01,0.1,5000,50,1,212,2193,212-2193,['3'],"['43', '22']","['2', '13', '39', '45', '36', '48', '32', '11']",2.0,3.0,5.0,99.74823766364553,1986.0,496.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.9496475327291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,5025,210-2196,100.0,99.5,1,100.0,1,15,5,5,5,21,0,16,100.0%,23.8%,✅ Equal,26,10,16
94_Recombination events.csv|4951,4951,94_Recombination events.csv,3042,6717,['42'],1000,0.0001,0.01,0.1,5000,50,1,3037,6716,3037-6716,['42'],['11'],['45'],5.0,1.0,6.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.2,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,4951,3042-6717,100.0,99.4,1,100.0,1,16,2,2,2,8,0,6,100.0%,25.0%,✅ Equal,10,4,6
95_Recombination events.csv|5000,5000,95_Recombination events.csv,2403,8589,['38'],1000,0.0001,0.01,0.1,5000,50,1,2406,8594,2406-8594,['38'],"['43', '32']","['49', '3']",3.0,5.0,8.0,100.0,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,5000,2403-8589,100.0,99.2,1,100.0,1,17,4,4,5,18,1,14,80.0%,22.2%,✅ Equal,23,8,15
92_Recombination events.csv|5059,5059,92_Recombination events.csv,3858,8898,['34'],1000,0.0001,0.01,0.1,5000,50,4,3858,8899,3858-8899,['34'],"['6', '19', '23']","['2', '37', '45', '21', '8', '43']",0.0,1.0,1.0,100.0,4960.0,1240.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,5059,3858-8898,100.0,99.9,4,100.0,1,18,7,7,10,21,3,14,70.0%,33.3%,✅ Equal,31,14,17
82_Recombination events.csv|5003,5003,82_Recombination events.csv,363,5508,"['13', '42', '50']",1000,0.0001,0.01,0.1,5000,50,2,358,5506,358-5506,"['13', '42', '50']","['18', '14', '44', '26', '24', '47']",['29'],5.0,2.0,7.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (3/3),59.0,100.0,3/3,100.0,3.0,3.0,3/3,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,5003,363-5508,100.0,99.3,2,100.0,1,19,7,7,10,19,3,12,70.0%,36.8%,✅ Equal,29,14,15
35_Recombination events.csv|4877,4877,35_Recombination events.csv,1278,3396,['24'],1000,0.0001,0.01,0.1,5000,50,1,1278,3398,1278-3398,['24'],['28'],"['2', '20']",0.0,2.0,2.0,100.0,2118.0,529.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,4877,1278-3396,100.0,99.8,1,100.0,1,20,5,5,5,10,0,5,100.0%,50.0%,✅ Equal,15,10,5
85_Recombination events.csv|5038,5038,85_Recombination events.csv,1023,7911,['46'],1000,0.0001,0.01,0.1,5000,50,2,1024,7906,1024-7906,['46'],['40'],"['33', '21', '48']",1.0,5.0,6.0,99.91289198606272,3112.0,778.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98257839721255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,5038,1023-7911,100.0,99.4,2,100.0,1,21,3,3,4,16,1,13,75.0%,18.8%,✅ Equal,20,6,14
25_Recombination events.csv|4848,4848,25_Recombination events.csv,8247,10000,['28'],1000,0.0001,0.01,0.1,5000,50,1,8249,9998,8249-9998,['28'],['48'],"['43', '16']",2.0,2.0,4.0,99.8,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.96,100.0,1/1,100.0,1.0,1.0,1/1,98.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,4848,8247-10000,100.0,99.6,1,100.0,2,22,6,6,8,20,2,14,75.0%,30.0%,✅ Equal,28,12,16
22_Recombination events.csv|4974,4974,22_Recombination events.csv,6630,7800,['40'],1000,0.0001,0.01,0.1,5000,50,1,6630,7803,6630-7803,['40'],['17'],"['44', '19', '4', '42']",0.0,3.0,3.0,100.0,1170.0,292.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,4974,6630-7800,100.0,99.7,1,100.0,1,23,3,3,4,15,1,12,75.0%,20.0%,✅ Equal,19,6,13
87_Recombination events.csv|4975,4975,87_Recombination events.csv,1323,6990,['33'],1000,0.0001,0.01,0.1,5000,50,1,1324,6990,1324-6990,['33'],['37'],"['2', '39']",1.0,0.0,1.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.9,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,4975,1323-6990,100.0,99.9,1,100.0,1,24,5,5,6,14,1,9,83.3%,35.7%,✅ Equal,20,10,10
86_Recombination events.csv|4905,4905,86_Recombination events.csv,5436,8721,"['13', '16', '19', '34', '40', '6']",1000,0.0001,0.01,0.1,5000,50,1,5436,8720,5436-8720,"['19', '13', '40', '16', '34', '6']","['48', '17', '31', '26', '8', '9', '12', '1']",['2'],0.0,1.0,1.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (6/6),59.0,100.0,6/6,100.0,6.0,6.0,6/6,99.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,4905,5436-8721,66.66666666666666,99.9,1,100.0,1,25,6,6,9,15,3,9,66.7%,40.0%,✅ Equal,24,12,12
2_Recombination events.csv|4973,4973,2_Recombination events.csv,3750,5313,['10'],1000,0.0001,0.01,0.1,5000,50,2,3750,5314,3750-5314,['10'],"['2', '42', '40']","['44', '47']",0.0,1.0,1.0,100.0,1563.0,390.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4973,3750-5313,100.0,99.9,2,100.0,1,26,3,3,3,11,0,8,100.0%,27.3%,✅ Equal,14,6,8
89_Recombination events.csv|4983,4983,89_Recombination events.csv,5487,6744,['23'],1000,0.0001,0.01,0.1,5000,50,1,5484,6743,5484-6743,['23'],"['6', '31', '7', '49']","['30', '25']",3.0,1.0,4.0,99.92044550517105,1257.0,314.2,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.984089101034215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,4983,5487-6744,100.0,99.6,1,100.0,1,27,4,4,5,12,1,8,80.0%,33.3%,✅ Equal,17,8,9
84_Recombination events.csv|4849,4849,84_Recombination events.csv,6108,10000,['10'],1000,0.0001,0.01,0.1,5000,50,1,6114,9995,6114-9995,['10'],"['37', '48', '39', '3', '43']","['26', '8', '49']",6.0,5.0,11.0,99.71736896197328,3892.0,973.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.943473792394656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,4849,6108-10000,100.0,98.9,1,100.0,1,28,3,3,3,17,0,14,100.0%,17.6%,✅ Equal,20,6,14
33_Recombination events.csv|4785,4785,33_Recombination events.csv,5196,7305,['43'],1000,0.0001,0.01,0.1,5000,50,2,5194,7304,5194-7304,['43'],"['5', '16', '50', '23', '26', '45', '4', '46', '7', '1']","['40', '33', '6', '21', '11']",2.0,1.0,3.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,4785,5196-7305,100.0,99.7,2,100.0,1,29,3,3,3,12,0,9,100.0%,25.0%,✅ Equal,15,6,9
30_Recombination events.csv|4904,4904,30_Recombination events.csv,4983,9621,"['38', '40']",1000,0.0001,0.01,0.1,5000,50,2,4984,9620,4984-9620,"['38', '40']","['27', '25', '39', '15', '3', '6', '14', '21', '33', '4', '44', '24', '45', '9', '41']","['5', '29', '19', '37', '50', '34', '18', '28', '48', '1']",1.0,1.0,2.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,99.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4904,4983-9621,100.0,99.8,2,100.0,1,30,4,4,4,16,0,12,100.0%,25.0%,✅ Equal,20,8,12
83_Recombination events.csv|5007,5007,83_Recombination events.csv,213,534,['22'],1000,0.0001,0.01,0.1,5000,50,1,214,532,214-532,['22'],"['32', '1']",['46'],1.0,2.0,3.0,99.1,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.82,100.0,1/1,100.0,1.0,1.0,1/1,95.3,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,5007,213-534,100.0,99.7,1,100.0,1,31,2,2,4,25,2,23,50.0%,8.0%,✅ Equal,29,4,25
31_Recombination events.csv|4931,4931,31_Recombination events.csv,8445,10000,['50'],1000,0.0001,0.01,0.1,5000,50,1,8446,9993,8446-9993,['50'],['15'],['12'],1.0,7.0,8.0,99.5,,,,Step 2: Best Match,⭐ Excellent Match (1/1),,🎯 Perfect (1/1),58.900000000000006,100.0,1/1,100.0,1.0,1.0,1/1,97.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,4931,8445-10000,100.0,99.2,1,100.0,1,32,5,5,5,29,0,24,100.0%,17.2%,✅ Equal,34,10,24
63_Recombination events.csv|5018,5018,63_Recombination events.csv,1671,10000,"['23', '27']",1000,0.0001,0.01,0.1,5000,50,1,1672,9998,1672-9998,"['23', '27']","['49', '42', '16', '18', '45', '33', '20', '1']",['25'],1.0,2.0,3.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,✅ Complete (2/2),59.0,100.0,2/2,100.0,2.0,2.0,2/2,99.1,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,5018,1671-10000,100.0,99.7,1,100.0,1,33,5,5,5,8,0,3,100.0%,62.5%,✅ Equal,13,10,3
32_Recombination events.csv|4752,4752,32_Recombination events.csv,1596,2988,"['13', '36']",1000,0.0001,0.01,0.1,5000,50,3,1596,2988,1596-2988,"['13', '36']","['34', '23', '24', '46', '37', '19', '42', '33', '44', '45', '49', '27', '40', '31', '3', '18', '14', '10', '43', '15', '7']","['35', '48', '39', '50', '32', '22', '26', '8', '9', '30', '41', '29']",0.0,0.0,0.0,100.0,1392.0,348.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4752,1596-2988,100.0,100.0,3,100.0,1,34,5,5,5,12,0,7,100.0%,41.7%,✅ Equal,17,10,7
91_Recombination events.csv|4987,4987,91_Recombination events.csv,2751,10000,['49'],1000,0.0001,0.01,0.1,5000,50,1,2758,9996,2758-9996,['49'],['19'],"['48', '38', '12', '16']",7.0,4.0,11.0,99.84825493171472,2751.0,687.8,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.96965098634294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,4987,2751-10000,100.0,98.9,1,100.0,1,35,6,6,6,17,0,11,100.0%,35.3%,✅ Equal,23,12,11
43_Recombination events.csv|4685,4685,43_Recombination events.csv,666,9072,['23'],1000,0.0001,0.01,0.1,5000,50,3,668,9066,668-9066,['23'],"['49', '35', '19', '48', '42', '16', '17', '25', '40', '15', '3', '22', '6', '21', '33', '8', '24', '20']","['5', '37', '27', '39', '28', '46', '32', '11']",2.0,6.0,8.0,99.90482988341661,1594.0,398.5,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98096597668332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,4685,666-9072,100.0,99.2,3,100.0,1,36,2,2,4,14,2,12,50.0%,14.3%,✅ Equal,18,4,14
15_Recombination events.csv|4937,4937,15_Recombination events.csv,5346,9432,['38'],1000,0.0001,0.01,0.1,5000,50,1,5348,9434,5348-9434,['38'],"['40', '22', '45', '4', '46', '11', '12']",['16'],2.0,2.0,4.0,100.0,,,,Step 2: Best Match,🎯 Perfect Match (1/1),,🎯 Perfect (1/1),59.0,100.0,1/1,100.0,1.0,1.0,1/1,99.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4937,5346-9432,100.0,99.6,1,100.0,1,37,8,8,9,29,1,21,88.9%,27.6%,✅ Equal,38,16,22
44_Recombination events.csv|4913,4913,44_Recombination events.csv,2625,8019,"['10', '16', '26', '3', '49']",1000,0.0001,0.01,0.1,5000,50,1,2370,8014,2370-8014,"['49', '16', '3', '26', '10']","['31', '41', '36', '24']","['45', '25']",255.0,5.0,260.0,99.9,,,,Step 2: Best Match,✅ Complete Match (1/1),,✅ Complete (5/5),54.980000000000004,100.0,5/5,100.0,5.0,5.0,5/5,71.8,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4913,2625-8019,60.0,74.0,1,100.0,1,38,2,2,2,21,0,19,100.0%,9.5%,✅ Equal,23,4,19
52_Recombination events.csv|5093,5093,52_Recombination events.csv,9435,9792,['27'],1000,0.0001,0.01,0.1,5000,50,3,9434,9784,9434-9784,['27'],['33'],"['2', '19', '13', '50', '18', '4', '43', '29']",1.0,8.0,9.0,97.8,,,,Step 2: Best Match,✅ Complete Match (1/1),,🎯 Perfect (1/1),58.56,100.0,1/1,100.0,1.0,1.0,1/1,87.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,5093,9435-9792,100.0,99.1,3,100.0,1,39,4,4,5,26,1,22,80.0%,15.4%,✅ Equal,31,8,23
62_Recombination events.csv|4951,4951,62_Recombination events.csv,6624,10000,['44'],1000,0.0001,0.01,0.1,5000,50,1,6624,9998,6624-9998,['44'],['49'],"['43', '32']",0.0,2.0,2.0,99.94075829383885,3376.0,844.0,25.0,Step 1: Approximate,Standard_Match,Exact Recombinant Match,,58.98815165876778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,4951,6624-10000,100.0,99.8,1,100.0,1,40,9,9,11,26,2,17,81.8%,34.6%,✅ Equal,37,18,19
