,Unnamed: 0,Global_Rank,Tag_Rank,Tag_Specific_Quality_Score,Tag,Santa_ID,RDP_Event_ID,Match_Type,Source_Tab,Tag_RDP_Count,Tag_Santa_Count,Tag_Original_RDP_Count,Tag_Original_Santa_Count,Tag_Remaining_RDP,Tag_Remaining_Santa,Tag_RDP_Match_Rate,Tag_Santa_Match_Rate,RDP_Santa_Equal,Tag_Total_Original,Tag_Total_Matched,Tag_Total_Remaining,SantaID,Santa_Event,Santa_Tag,Santa_INI,Santa_END,Santa_Recombinant,santa_popSize,santa_mutationRate,santa_recombProb,santa_dualInfectProb,santa_genCount,santa_sampleSize,RDP_INI,RDP_END,RDP_Breakpoints,RDP_Recombinant,RDP_Minor,RDP_Major,INI_Difference,END_Difference,Total_Difference,Overlap_Percentage,Fragment_Size,Dynamic_Tolerance,Tolerance_Percent,Validation,Recombinant_Match_Quality,Quality_Score,Jaccard_Similarity,Sequence_Ratio,Sequence_Coverage,Santa_Recombinant_Count,RDP_Recombinant_Count,Covered_Sequences,Breakpoint_Score,Overlap_Score,Santa_Breakpoint,Santa_Size,Santa_Seqs_Count,Tolerance,Max_End_Distance,Chain_Score,Start_Score,End_Score,Continuity_Score,Recombinant_Score,Seq_Ratio,Seq_Ratio_%,Reaches_Santa_End,RDP_Tags,Chain_Length,Chain_INI,Chain_END,Start_Distance,End_Distance,Total_Gap,Chain_Logic_Valid,Logic_Validation_Msg,Quality_Check,Coverage_Percentage,Valid,Minor/Major,Start_Anchor,End_Anchor,Full_Coverage,Pre_Start_RDPs,Reaches_Start,Reaches_End,RDP_Num,Santa_Breakpoints,Display_Coverage,Display_Seq_Ratio,Structural_Score,Coverage_Score,tag,Parent_Child_Type,Matched_Value,Breakpoint_Matches,Num_Breakpoint_Matches,Avg_Distance,Total_Distance,Start_Dist,End_Dist,Recombinant_Match_Score,Start_End_Diff_Score,Chain_Bonus,Step_Priority,Match_Type_Priority,Reaches_Priority,RDP_Set,Reaches_Status
89,89,90,1,87.44984954864594,3,4908,1,🎯 Perfect Match (1/1),Step 2: Best Match,6,6,6,28,0,22,100.0%,21.4%,✅ Equal,34,12,22,3_Recombination events.csv|4908,4908,3_Recombination events.csv,5166,10000,"['20', '26', '37', '45']",1000,0.0001,0.01,0.1,5000,50,5167,9997,5167-9997,"['26', '20', '37', '45']","['23', '38', '9']","['42', '43', '32', '40', '41', '14', '31', '28', '27']",1,3,4,99.9,,,,,✅ Complete (4/4),58.98,100,4/4,100,4,4,4/4,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,5166-10000,99.9%,100.0%,0,99.9,,,,,,,,,,50,99.6,0,1,1,0,1,❌ None
91,91,92,2,87.31193580742227,3,1995,5,✅ Complete Match (1/1),Step 2: Best Match,6,6,6,28,0,22,100.0%,21.4%,✅ Equal,34,12,22,3_Recombination events.csv|1995,1995,3_Recombination events.csv,7614,10000,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '4', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '5', '50', '6', '7', '8', '9']",1000,0.0001,0.01,0.1,5000,50,7862,9992,7862-9992,"['48', '39', '17', '47', '4', '1', '44', '15', '29']","['46', '35', '50', '9', '8', '13', '3', '25', '36', '16', '22', '30', '18', '19', '38', '23']","['42', '43', '32', '40', '41', '14', '31', '28', '27']",248,8,256,89.3,,,,,✅ Complete (9/9),52.86,18,9/9,100,50,9,9/9,50,99.2,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,5,7614-10000,89.3%,100.0%,0,89.3,,,,,,,,,,66.66666666666666,74.4,0,1,3,0,5,❌ None
132,132,133,3,70.11033099297893,3,4082,2,✅ Complete Match (1/1),Step 2: Best Match,6,6,6,28,0,22,100.0%,21.4%,✅ Equal,34,12,22,3_Recombination events.csv|4082,4082,3_Recombination events.csv,3225,10000,"['10', '11', '12', '13', '14', '16', '18', '19', '2', '20', '21', '22', '23', '24', '25', '26', '27', '28', '3', '30', '31', '32', '33', '34', '35', '36', '37', '38', '40', '41', '42', '43', '45', '46', '49', '5', '50', '6', '7', '8', '9']",1000,0.0001,0.01,0.1,5000,50,2634,9992,2634-9992,"['34', '2', '5', '49', '11', '6']","['42', '43', '32', '40', '41', '14', '47', '31', '28', '27']","['35', '19', '16']",591,8,599,99.9,,,,,✅ Complete (6/6),52.98,14.6,6/6,100,41,6,6/6,30,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,3225-10000,99.9%,100.0%,0,99.9,,,,,,,,,,66.66666666666666,40.1,0,1,3,0,2,❌ None
172,172,173,4,50,3,4986,4,🎯 Perfect Match (1/1),Step 2: Best Match,6,6,6,28,0,22,100.0%,21.4%,✅ Equal,34,12,22,3_Recombination events.csv|4986,4986,3_Recombination events.csv,1227,6660,"['10', '21', '24', '33']",1000,0.0001,0.01,0.1,5000,50,1230,6660,1230-6660,"['21', '33', '10', '24']","['22', '30']",['19'],3,0,3,99.9,,,,,✅ Complete (4/4),58.98,100,4/4,100,4,4,4/4,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,1227-6660,99.9%,100.0%,0,99.9,,,,,,,,,,0,99.7,0,1,1,0,4,❌ None
185,185,186,5,49.598796389167504,3,4857,3,⭐ Excellent Match (1/1),Step 2: Best Match,6,6,6,28,0,22,100.0%,21.4%,✅ Equal,34,12,22,3_Recombination events.csv|4857,4857,3_Recombination events.csv,2625,10000,"['11', '12', '2', '34', '49', '5', '6', '7']",1000,0.0001,0.01,0.1,5000,50,2628,9992,2628-9992,"['7', '12']","['42', '43', '32', '40', '41', '14', '47', '31', '28', '27']","['46', '50', '9', '8', '13', '3', '25', '36', '22', '30', '18', '38', '23']",3,8,11,99.9,,,,,✅ Complete (2/2),58.98,25,2/2,100,8,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,2625-10000,99.9%,100.0%,0,99.9,,,,,,,,,,0,98.9,0,1,2,0,3,❌ None
188,188,189,6,49.197592778335,3,4977,6,⭐ Excellent Match (1/1),Step 2: Best Match,6,6,6,28,0,22,100.0%,21.4%,✅ Equal,34,12,22,3_Recombination events.csv|4977,4977,3_Recombination events.csv,4821,10000,"['12', '7']",1000,0.0001,0.01,0.1,5000,50,4814,9988,4814-9988,"['7', '12']","['2', '5', '11']",['8'],7,12,19,99.8,,,,,✅ Complete (2/2),56.96,100,2/2,100,2,2,2/2,70,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,6,4821-10000,99.8%,100.0%,0,99.8,,,,,,,,,,0,98.1,0,1,2,0,6,❌ None
97,97,98,1,83.33333333333333,4,4651,4,🎯 Perfect Match (1/1),Step 2: Best Match,4,4,4,25,0,21,100.0%,16.0%,✅ Equal,29,8,21,4_Recombination events.csv|4651,4651,4_Recombination events.csv,1215,5559,"['10', '13', '14', '2', '26', '34', '37', '40', '41', '42', '47', '9']",1000,0.0001,0.01,0.1,5000,50,1217,5560,1217-5560,"['26', '42', '40', '9', '41', '13', '2', '10', '14', '47', '37', '34']","['50', '46', '4', '45', '19']","['39', '17', '32', '33', '31', '5', '16', '36', '49', '30', '18', '28', '11', '27']",2,1,3,100,,,,,✅ Complete (12/12),59,100,12/12,100,12,12,12/12,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,4,1215-5559,100.0%,100.0%,0,100,,,,,,,,,,66.66666666666666,99.7,0,1,1,0,4,❌ None
159,159,160,2,50,4,4894,3,Case_E_Start_End,Step 1: Approximate,4,4,4,25,0,21,100.0%,16.0%,✅ Equal,29,8,21,4_Recombination events.csv|4894,4894,4_Recombination events.csv,708,10000,['32'],1000,0.0001,0.01,0.1,5000,50,6,708,6-708,['32'],"['20', '44']","['18', '30']",702,9292,9994,0,708,177,25,Exact Recombinant Match,,33,,,,,,,30,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,3,708-10000,,100.0%,0,0,,,,,,,,,,100,0,0,1,8,0,3,❌ None
181,181,182,3,49.849548645937816,4,4641,2,🎯 Perfect Match (1/1),Step 2: Best Match,4,4,4,25,0,21,100.0%,16.0%,✅ Equal,29,8,21,4_Recombination events.csv|4641,4641,4_Recombination events.csv,5871,10000,"['16', '5']",1000,0.0001,0.01,0.1,5000,50,5870,9995,5870-9995,"['5', '16']","['12', '24', '25']","['39', '17', '32', '33', '31', '36', '49', '30', '18', '28', '11', '27']",1,5,6,99.9,,,,,✅ Complete (2/2),58.98,100,2/2,100,2,2,2/2,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,2,5871-10000,99.9%,100.0%,0,99.9,,,,,,,,,,0,99.4,0,1,1,0,2,❌ None
187,187,188,4,49.44834503510531,4,4785,1,⭐ Excellent Match (1/1),Step 2: Best Match,4,4,4,25,0,21,100.0%,16.0%,✅ Equal,29,8,21,4_Recombination events.csv|4785,4785,4_Recombination events.csv,2226,10000,"['23', '3', '48']",1000,0.0001,0.01,0.1,5000,50,2218,9994,2218-9994,"['3', '48', '23']","['18', '30']","['50', '46', '4', '45', '19']",8,6,14,99.9,,,,,✅ Complete (3/3),58.98,100,3/3,100,3,3,3/3,90,100,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,1,2226-10000,99.9%,100.0%,0,99.9,,,,,,,,,,0,98.6,0,1,2,0,1,❌ None
